district_name,state_ut,institutional_birth_5y_pct,births_attended_by_skilled_hp_5y_10_pct,mothers_who_had_at_least_4_anc_visits_lb5y_pct,child_12_23m_fully_vaccinated_based_on_information_from_eit_pct,hh_member_covered_health_insurance_pct,child_u5_who_are_stunted_height_for_age_18_pct,non_pregnant_w15_49_who_are_anaemic_lt_12_0_g_dl_22_pct
Nicobars,Andaman & Nicobar Islands,97.8,98.6,71.7 ,(64.2),2.7,21.6 ,38.4
North & Middle Andaman ,Andaman & Nicobar Islands,97.7,98.3,79.2 ,*,2.1,27.0 ,62.5
South Andaman ,Andaman & Nicobar Islands,99.5,96.9,85.9 ,(76.3),1.2,21.1 ,57.6
Srikakulam ,Andhra Pradesh,97.9,96.4,78.4 ,(82.8),75.6,19.7 ,62.8
Vizianagaram ,Andhra Pradesh,99.0,97.6,71.4 ,(76.8),76.7,36.4 ,64.6
Visakhapatnam ,Andhra Pradesh,95.3,94.4,58.6 ,(76.5),64.9,31.0 ,58.6
East Godavari ,Andhra Pradesh,96.6,89.9,51.0 ,(59.0),66.4,23.1 ,63.2
West Godavari ,Andhra Pradesh,98.7,98.5,62.7 ,(80.0),67.6,31.4 ,63.1
Krishna ,Andhra Pradesh,98.9,98.0,73.3 ,(90.0),68.1,29.8 ,60.4
Guntur ,Andhra Pradesh,98.6,95.5,62.5 ,(76.2),71.1,23.8 ,59.8
Prakasam ,Andhra Pradesh,97.4,97.9,73.4 ,(51.9),67.6,22.6 ,60.6
Sri Potti Sriramulu Nello ,Andhra Pradesh,97.0,100.0,73.0 ,65.3 ,72.3,29.2 ,59.6
Y.S.R. ,Andhra Pradesh,99.4,100.0,82.8 ,83.0 ,73.3,34.4 ,56.1
Kurnool ,Andhra Pradesh,88.5,90.6,74.3 ,67.0 ,73.3,50.5 ,58.3
Anantapur ,Andhra Pradesh,94.7,98.3,66.6 ,(81.8),73.2,36.0 ,50.3
Chittoor ,Andhra Pradesh,97.1,97.6,65.3 ,(66.6),70.7,27.1 ,51.8
Tawang ,Arunachal Pradesh,84.2,89.9,37.6 ,67.5 ,33.5,30.4 ,59.2
West Kameng ,Arunachal Pradesh,93.6,92.0,27.6 ,(56.2),38.3,24.2 ,38.4
East Kameng ,Arunachal Pradesh,76.0,80.3,29.1 ,60.8 ,25.1,35.7 ,26.9
Papum Pare ,Arunachal Pradesh,88.0,86.5,39.3 ,60.7 ,26.9,29.7 ,39.4
Upper Subansiri ,Arunachal Pradesh,77.0,81.3,32.1 ,68.5 ,21.5,36.8 ,36.6
Upper Siang ,Arunachal Pradesh,76.0,78.8,34.0 ,(61.4),34.6,30.4 ,29.4
Changlang ,Arunachal Pradesh,75.1,81.3,46.9 ,70.9 ,40.5,26.3 ,57.1
Lower Subansiri ,Arunachal Pradesh,89.8,92.6,39.1 ,(66.5),24.5,30.7 ,41.1
Dibang Valley ,Arunachal Pradesh,85.5,88.1,40.4 ,(90.7),28.7,16.9 ,64.3
Lower Dibang Valley ,Arunachal Pradesh,90.1,93.7,48.6 ,73.8 ,36.8,14.3 ,35.3
Anjaw ,Arunachal Pradesh,78.0,79.0,32.3 ,(93.0),17.5,23.6 ,36.9
East Siang ,Arunachal Pradesh,90.8,89.2,34.3 ,(48.8),30.5,24.6 ,35.3
Kra Daadi ,Arunachal Pradesh,73.5,81.0,18.3 ,(63.6),24.0,28.8 ,24.3
Kurung Kumey ,Arunachal Pradesh,69.2,69.7,44.1 ,(71.4),13.4,29.2 ,35.5
Lohit ,Arunachal Pradesh,90.2,92.3,39.6 ,(74.0),31.9,24.5 ,47.6
Longding ,Arunachal Pradesh,64.5,65.0,39.6 ,52.7 ,23.8,15.8 ,35.0
Namsai ,Arunachal Pradesh,63.6,68.8,35.4 ,67.2 ,30.9,28.7 ,58.8
Siang ,Arunachal Pradesh,81.1,82.7,31.1 ,(60.3),26.1,21.3 ,24.4
Tirap ,Arunachal Pradesh,70.2,73.9,35.7 ,66.3 ,30.8,38.6 ,32.4
West Siang ,Arunachal Pradesh,84.6,87.6,30.4 ,(55.4),26.6,24.5 ,31.2
Kokrajhar ,Assam,81.9,82.0,36.9 ,51.1 ,50.2,34.6 ,59.5
Goalpara ,Assam,92.3,94.2,44.1 ,70.3 ,71.1,38.9 ,65.5
Barpeta ,Assam,87.6,87.6,43.6 ,54.6 ,58.9,29.8 ,65.6
Morigaon ,Assam,88.3,90.0,42.0 ,73.4 ,62.5,43.2 ,64.9
Lakhimpur ,Assam,96.2,96.8,51.7 ,69.0 ,67.0,38.5 ,66.3
Dhemaji ,Assam,87.3,91.5,62.2 ,89.7 ,66.8,37.2 ,62.9
Tinsukia ,Assam,82.6,83.2,63.1 ,(75.0),60.0,32.8 ,72.9
Dibrugarh ,Assam,93.1,95.3,75.6 ,(83.8),58.8,27.3 ,72.0
Golaghat ,Assam,90.4,92.1,65.7 ,(72.4),69.3,26.3 ,77.2
Dima Hasao ,Assam,89.5,91.9,46.9 ,(63.6),61.9,30.6 ,61.1
Cachar ,Assam,79.2,80.2,32.7 ,70.4 ,57.9,28.7 ,58.2
Karimganj ,Assam,76.4,78.3,42.8 ,75.1 ,64.4,29.1 ,52.5
Hailakandi ,Assam,83.0,84.8,43.1 ,68.6 ,53.6,42.9 ,61.5
Bongaigaon ,Assam,84.5,89.1,33.9 ,67.9 ,57.6,46.2 ,71.4
Chirang ,Assam,83.7,82.9,56.5 ,71.1 ,61.5,42.7 ,65.7
Kamrup ,Assam,85.0,88.5,46.9 ,63.6 ,47.0,22.6 ,71.7
Kamrup Metropolitan ,Assam,89.1,90.1,68.9 ,(53.6),45.5,25.4 ,75.2
Nalbari ,Assam,91.8,91.4,55.9 ,(65.5),52.5,27.5 ,66.9
Baksa ,Assam,89.9,92.1,56.0 ,70.5 ,69.0,41.2 ,73.8
Darrang ,Assam,84.4,87.0,37.5 ,57.1 ,53.7,42.0 ,71.4
Udalguri ,Assam,86.2,87.9,49.8 ,(38.3),70.6,33.8 ,82.2
Biswanath ,Assam,84.3,84.6,46.5 ,66.2 ,68.4,42.7 ,65.1
Charaideo ,Assam,88.2,90.5,64.5 ,(74.0),64.9,39.0 ,72.6
Dhubri ,Assam,64.2,68.9,37.6 ,71.6 ,59.4,48.5 ,63.0
Hojai ,Assam,82.1,83.5,51.3 ,55.5 ,67.4,39.3 ,56.6
Jorhat ,Assam,96.5,97.4,67.0 ,69.2 ,60.1,38.7 ,72.4
Karbi Anglong ,Assam,74.9,78.3,63.9 ,64.3 ,54.1,31.6 ,59.5
Majuli ,Assam,90.3,93.5,72.2 ,78.6 ,60.8,35.4 ,68.1
Nagaon ,Assam,83.7,86.7,59.4 ,58.2 ,59.4,38.9 ,61.0
Sivasagar ,Assam,95.3,95.6,80.9 ,(77.6),60.7,26.1 ,68.0
Sonitpur ,Assam,83.5,82.8,45.5 ,70.9 ,66.9,36.7 ,64.3
South Salmara Mancachar ,Assam,71.7,79.4,35.3 ,65.8 ,68.2,38.9 ,58.2
West Karbi Anglong ,Assam,72.5,84.5,46.7 ,47.9 ,63.1,40.9 ,58.8
Pashchim Champaran ,Bihar,79.5,78.4,25.4 ,62.1 ,20.0,43.5 ,49.8
Purba Champaran ,Bihar,61.5,67.4,21.7 ,68.3 ,19.4,49.1 ,57.1
Sheohar ,Bihar,74.3,77.0,25.3 ,62.9 ,18.1,34.4 ,63.4
Sitamarhi ,Bihar,64.4,69.6,20.3 ,66.6 ,20.7,54.2 ,61.8
Madhubani ,Bihar,73.7,78.5,34.9 ,74.1 ,19.2,43.3 ,60.9
Supaul ,Bihar,80.4,79.4,30.9 ,73.6 ,14.2,42.3 ,61.0
Araria ,Bihar,66.2,70.3,25.8 ,61.6 ,19.5,49.9 ,67.7
Kishanganj ,Bihar,54.6,64.9,17.1 ,67.3 ,8.1,38.8 ,64.9
Purnia ,Bihar,68.9,74.2,11.1 ,62.7 ,10.2,43.5 ,65.1
Katihar ,Bihar,66.9,73.8,15.3 ,73.7 ,8.4,43.9 ,68.9
Madhepura ,Bihar,75.0,77.1,20.9 ,72.0 ,9.5,46.3 ,65.4
Saharsa ,Bihar,70.4,72.9,11.7 ,72.2 ,12.8,47.8 ,65.7
Darbhanga ,Bihar,69.9,75.9,24.9 ,66.3 ,25.3,45.4 ,61.3
